,$,private,public,rpar,lpar,id,dot,float,integer,semi,return,write,read,while,else,then,if,rcurbr,lcurbr,eof,minus,plus,void,comma,geq,leq,gt,lt,neq,eq,isa,and,div,mult,colon,attribute,constructorkeyword,arrow,function,localvar,rsqbr,lsqbr,sr,not,floatlit,intlit,class,equal,or
EXPR,,,,,EXPR → ARITHEXPR EXPR2,EXPR → ARITHEXPR EXPR2,,,,,,,,,,,,,,,EXPR → ARITHEXPR EXPR2,EXPR → ARITHEXPR EXPR2,,,,,,,,,,,,,,,,,,,,,,EXPR → ARITHEXPR EXPR2,EXPR → ARITHEXPR EXPR2,EXPR → ARITHEXPR EXPR2,,,
EXPR2,,,,EXPR2 → &epsilon sa6,,,,,,EXPR2 → &epsilon sa6,,,,,,,,,,,,,,EXPR2 → &epsilon sa6,EXPR2 → RELOP ARITHEXPR sa7,EXPR2 → RELOP ARITHEXPR sa7,EXPR2 → RELOP ARITHEXPR sa7,EXPR2 → RELOP ARITHEXPR sa7,EXPR2 → RELOP ARITHEXPR sa7,EXPR2 → RELOP ARITHEXPR sa7,,,,,,,,,,,,,,,,,,,
FACTOR,,,,,FACTOR → lpar ARITHEXPR sa14 rpar,FACTOR → id sa1 FACTOR2 REPTVARIABLEORFUNCTIONCALL sa14,,,,,,,,,,,,,,,FACTOR → SIGN FACTOR sa38,FACTOR → SIGN FACTOR sa38,,,,,,,,,,,,,,,,,,,,,,FACTOR → not sa1 FACTOR sa37,FACTOR → floatlit sa1,FACTOR → intlit sa1,,,
FACTOR2,,,,FACTOR2 → REPTIDNEST1,FACTOR2 → lpar sa2 APARAMS sa5 rpar,,FACTOR2 → REPTIDNEST1,,,FACTOR2 → REPTIDNEST1,,,,,,,,,,,FACTOR2 → REPTIDNEST1,FACTOR2 → REPTIDNEST1,,FACTOR2 → REPTIDNEST1,FACTOR2 → REPTIDNEST1,FACTOR2 → REPTIDNEST1,FACTOR2 → REPTIDNEST1,FACTOR2 → REPTIDNEST1,FACTOR2 → REPTIDNEST1,FACTOR2 → REPTIDNEST1,,FACTOR2 → REPTIDNEST1,FACTOR2 → REPTIDNEST1,FACTOR2 → REPTIDNEST1,,,,,,,FACTOR2 → REPTIDNEST1,FACTOR2 → REPTIDNEST1,,,,,,,FACTOR2 → REPTIDNEST1
FPARAMS,,,,FPARAMS → &epsilon sa2 sa28,,FPARAMS → sa2 id sa1 colon TYPE sa2 REPTFPARAMS3 sa3 sa27 REPTFPARAMS4 sa28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FPARAMSTAIL,,,,,,,,,,,,,,,,,,,,,,,,FPARAMSTAIL → comma id sa1 colon TYPE sa2 REPTFPARAMSTAIL4 sa3 sa27,,,,,,,,,,,,,,,,,,,,,,,,,
FUNCBODY,,,,,,,,,,,,,,,,,,,FUNCBODY → lcurbr sa2 REPTLOCALVARORSTAT sa30 rcurbr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FUNCDEF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FUNCDEF → FUNCHEAD FUNCBODY sa31,,,,,,,,,,
FUNCHEAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FUNCHEAD → function id sa1 FUNCHEADTAIL,,,,,,,,,,
FUNCHEADMEMBERTAIL,,,,,,FUNCHEADMEMBERTAIL → id sa1 lpar FPARAMS rpar arrow RETURNTYPE sa29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FUNCHEADMEMBERTAIL → constructorkeyword lpar FPARAMS rpar,,,,,,,,,,,,
FUNCHEADTAIL,,,,,FUNCHEADTAIL → lpar FPARAMS rpar arrow RETURNTYPE sa29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FUNCHEADTAIL → sr FUNCHEADMEMBERTAIL,,,,,,
IDNEST,,,,,,,IDNEST → dot id sa1 IDNEST2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDNEST2,,,,IDNEST2 → REPTIDNEST1,IDNEST2 → lpar sa2 APARAMS sa5 rpar,,IDNEST2 → REPTIDNEST1,,,IDNEST2 → REPTIDNEST1,,,,,,,,,,,IDNEST2 → REPTIDNEST1,IDNEST2 → REPTIDNEST1,,IDNEST2 → REPTIDNEST1,IDNEST2 → REPTIDNEST1,IDNEST2 → REPTIDNEST1,IDNEST2 → REPTIDNEST1,IDNEST2 → REPTIDNEST1,IDNEST2 → REPTIDNEST1,IDNEST2 → REPTIDNEST1,,IDNEST2 → REPTIDNEST1,IDNEST2 → REPTIDNEST1,IDNEST2 → REPTIDNEST1,,,,,,,IDNEST2 → REPTIDNEST1,IDNEST2 → REPTIDNEST1,,,,,,,IDNEST2 → REPTIDNEST1
INDICE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDICE → lsqbr ARITHEXPR rsqbr,,,,,,,
LOCALVARDECL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LOCALVARDECL → localvar id sa1 colon TYPE sa2 ARRAYOROBJECT sa3 sa26 semi,,,,,,,,,
LOCALVARORSTAT,,,,,,LOCALVARORSTAT → STATEMENT,,,,,LOCALVARORSTAT → STATEMENT,LOCALVARORSTAT → STATEMENT,LOCALVARORSTAT → STATEMENT,LOCALVARORSTAT → STATEMENT,,,LOCALVARORSTAT → STATEMENT,,,,,,,,,,,,,,,,,,,,,,,LOCALVARORSTAT → LOCALVARDECL,,,,,,,,,
MEMBERDECL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEMBERDECL → MEMBERVARDECL,MEMBERDECL → MEMBERFUNCDECL,,MEMBERDECL → MEMBERFUNCDECL,,,,,,,,,,
MEMBERFUNCDECL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEMBERFUNCDECL → MEMBERFUNCHEAD semi,,MEMBERFUNCDECL → MEMBERFUNCHEAD semi,,,,,,,,,,
MEMBERFUNCHEAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEMBERFUNCHEAD → constructorkeyword colon lpar FPARAMS rpar,,MEMBERFUNCHEAD → function id sa1 colon lpar FPARAMS rpar arrow RETURNTYPE sa29,,,,,,,,,,
MEMBERVARDECL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEMBERVARDECL → attribute id sa1 colon TYPE sa2 REPTARRAYSIZE sa3 sa26 semi,,,,,,,,,,,,,
MULTOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MULTOP → and sa1,MULTOP → div sa1,MULTOP → mult sa1,,,,,,,,,,,,,,,
OPTINHERITS,,,,,,,,,,,,,,,,,,,OPTINHERITS → &epsilon,,,,,,,,,,,,OPTINHERITS → isa id sa1 REPTINHERITSLIST,,,,,,,,,,,,,,,,,,
PROG,,,,,,,,,,,,,,,,,,,,PROG → REPTPROG0,,,,,,,,,,,,,,,,,,,PROG → REPTPROG0,,,,,,,,PROG → REPTPROG0,,
RELEXPR,,,,,RELEXPR → ARITHEXPR RELOP ARITHEXPR sa9,RELEXPR → ARITHEXPR RELOP ARITHEXPR sa9,,,,,,,,,,,,,,,RELEXPR → ARITHEXPR RELOP ARITHEXPR sa9,RELEXPR → ARITHEXPR RELOP ARITHEXPR sa9,,,,,,,,,,,,,,,,,,,,,,RELEXPR → ARITHEXPR RELOP ARITHEXPR sa9,RELEXPR → ARITHEXPR RELOP ARITHEXPR sa9,RELEXPR → ARITHEXPR RELOP ARITHEXPR sa9,,,
RELOP,,,,,,,,,,,,,,,,,,,,,,,,,RELOP → geq sa1,RELOP → leq sa1,RELOP → gt sa1,RELOP → lt sa1,RELOP → neq sa1,RELOP → eq sa1,,,,,,,,,,,,,,,,,,,
REPTAPARAMS1,,,,REPTAPARAMS1 → &epsilon,,,,,,,,,,,,,,,,,,,,REPTAPARAMS1 → APARAMSTAIL REPTAPARAMS1,,,,,,,,,,,,,,,,,,,,,,,,,
REPTARRAYSIZE,,,,,,,,,,REPTARRAYSIZE → &epsilon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REPTARRAYSIZE → ARRAYSIZE REPTARRAYSIZE,,,,,,,
REPTFPARAMS3,,,,REPTFPARAMS3 → &epsilon,,,,,,,,,,,,,,,,,,,,REPTFPARAMS3 → &epsilon,,,,,,,,,,,,,,,,,,REPTFPARAMS3 → ARRAYSIZE REPTFPARAMS3,,,,,,,
REPTFPARAMS4,,,,REPTFPARAMS4 → &epsilon,,,,,,,,,,,,,,,,,,,,REPTFPARAMS4 → FPARAMSTAIL REPTFPARAMS4,,,,,,,,,,,,,,,,,,,,,,,,,
REPTFPARAMSTAIL4,,,,REPTFPARAMSTAIL4 → &epsilon,,,,,,,,,,,,,,,,,,,,REPTFPARAMSTAIL4 → &epsilon,,,,,,,,,,,,,,,,,,REPTFPARAMSTAIL4 → ARRAYSIZE REPTFPARAMSTAIL4,,,,,,,
REPTIDNEST1,,,,REPTIDNEST1 → &epsilon,,,REPTIDNEST1 → &epsilon,,,REPTIDNEST1 → &epsilon,,,,,,,,,,,REPTIDNEST1 → &epsilon,REPTIDNEST1 → &epsilon,,REPTIDNEST1 → &epsilon,REPTIDNEST1 → &epsilon,REPTIDNEST1 → &epsilon,REPTIDNEST1 → &epsilon,REPTIDNEST1 → &epsilon,REPTIDNEST1 → &epsilon,REPTIDNEST1 → &epsilon,,REPTIDNEST1 → &epsilon,REPTIDNEST1 → &epsilon,REPTIDNEST1 → &epsilon,,,,,,,REPTIDNEST1 → &epsilon,REPTIDNEST1 → INDICE REPTIDNEST1,,,,,,REPTIDNEST1 → &epsilon,REPTIDNEST1 → &epsilon
REPTINHERITSLIST,,,,,,,,,,,,,,,,,,,REPTINHERITSLIST → &epsilon,,,,,REPTINHERITSLIST → comma id sa1 REPTINHERITSLIST,,,,,,,,,,,,,,,,,,,,,,,,,
REPTLOCALVARORSTAT,,,,,,REPTLOCALVARORSTAT → LOCALVARORSTAT REPTLOCALVARORSTAT,,,,,REPTLOCALVARORSTAT → LOCALVARORSTAT REPTLOCALVARORSTAT,REPTLOCALVARORSTAT → LOCALVARORSTAT REPTLOCALVARORSTAT,REPTLOCALVARORSTAT → LOCALVARORSTAT REPTLOCALVARORSTAT,REPTLOCALVARORSTAT → LOCALVARORSTAT REPTLOCALVARORSTAT,,,REPTLOCALVARORSTAT → LOCALVARORSTAT REPTLOCALVARORSTAT,REPTLOCALVARORSTAT → &epsilon,,,,,,,,,,,,,,,,,,,,,,REPTLOCALVARORSTAT → LOCALVARORSTAT REPTLOCALVARORSTAT,,,,,,,,,
REPTMEMBERDECL,,REPTMEMBERDECL → VISIBILITY MEMBERDECL REPTMEMBERDECL,REPTMEMBERDECL → VISIBILITY MEMBERDECL REPTMEMBERDECL,,,,,,,,,,,,,,,REPTMEMBERDECL → &epsilon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REPTPROG0,,,,,,,,,,,,,,,,,,,,REPTPROG0 → &epsilon,,,,,,,,,,,,,,,,,,,REPTPROG0 → CLASSDECLORFUNCDEF REPTPROG0,,,,,,,,REPTPROG0 → CLASSDECLORFUNCDEF REPTPROG0,,
REPTSTATBLOCK1,,,,,,REPTSTATBLOCK1 → STATEMENT REPTSTATBLOCK1,,,,,REPTSTATBLOCK1 → STATEMENT REPTSTATBLOCK1,REPTSTATBLOCK1 → STATEMENT REPTSTATBLOCK1,REPTSTATBLOCK1 → STATEMENT REPTSTATBLOCK1,REPTSTATBLOCK1 → STATEMENT REPTSTATBLOCK1,,,REPTSTATBLOCK1 → STATEMENT REPTSTATBLOCK1,REPTSTATBLOCK1 → &epsilon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REPTVARIABLE,,,,REPTVARIABLE → &epsilon,,,REPTVARIABLE → sa2 VARIDNEST sa4 sa11 REPTVARIABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REPTVARIABLEORFUNCTIONCALL,,,,REPTVARIABLEORFUNCTIONCALL → &epsilon,,,REPTVARIABLEORFUNCTIONCALL → IDNEST REPTVARIABLEORFUNCTIONCALL,,,REPTVARIABLEORFUNCTIONCALL → &epsilon,,,,,,,,,,,REPTVARIABLEORFUNCTIONCALL → &epsilon,REPTVARIABLEORFUNCTIONCALL → &epsilon,,REPTVARIABLEORFUNCTIONCALL → &epsilon,REPTVARIABLEORFUNCTIONCALL → &epsilon,REPTVARIABLEORFUNCTIONCALL → &epsilon,REPTVARIABLEORFUNCTIONCALL → &epsilon,REPTVARIABLEORFUNCTIONCALL → &epsilon,REPTVARIABLEORFUNCTIONCALL → &epsilon,REPTVARIABLEORFUNCTIONCALL → &epsilon,,REPTVARIABLEORFUNCTIONCALL → &epsilon,REPTVARIABLEORFUNCTIONCALL → &epsilon,REPTVARIABLEORFUNCTIONCALL → &epsilon,,,,,,,REPTVARIABLEORFUNCTIONCALL → &epsilon,,,,,,,,REPTVARIABLEORFUNCTIONCALL → &epsilon
RETURNTYPE,,,,,,RETURNTYPE → TYPE,,RETURNTYPE → TYPE,RETURNTYPE → TYPE,,,,,,,,,,,,,,RETURNTYPE → void sa1,,,,,,,,,,,,,,,,,,,,,,,,,,
RIGHTRECARITHEXPR,,,,RIGHTRECARITHEXPR → &epsilon,,,,,,RIGHTRECARITHEXPR → &epsilon,,,,,,,,,,,RIGHTRECARITHEXPR → ADDOP TERM RIGHTRECARITHEXPR sa8,RIGHTRECARITHEXPR → ADDOP TERM RIGHTRECARITHEXPR sa8,,RIGHTRECARITHEXPR → &epsilon,RIGHTRECARITHEXPR → &epsilon,RIGHTRECARITHEXPR → &epsilon,RIGHTRECARITHEXPR → &epsilon,RIGHTRECARITHEXPR → &epsilon,RIGHTRECARITHEXPR → &epsilon,RIGHTRECARITHEXPR → &epsilon,,,,,,,,,,,RIGHTRECARITHEXPR → &epsilon,,,,,,,,RIGHTRECARITHEXPR → ADDOP TERM RIGHTRECARITHEXPR sa8
RIGHTRECTERM,,,,RIGHTRECTERM → &epsilon,,,,,,RIGHTRECTERM → &epsilon,,,,,,,,,,,RIGHTRECTERM → &epsilon,RIGHTRECTERM → &epsilon,,RIGHTRECTERM → &epsilon,RIGHTRECTERM → &epsilon,RIGHTRECTERM → &epsilon,RIGHTRECTERM → &epsilon,RIGHTRECTERM → &epsilon,RIGHTRECTERM → &epsilon,RIGHTRECTERM → &epsilon,,RIGHTRECTERM → MULTOP FACTOR RIGHTRECTERM sa10,RIGHTRECTERM → MULTOP FACTOR RIGHTRECTERM sa10,RIGHTRECTERM → MULTOP FACTOR RIGHTRECTERM sa10,,,,,,,RIGHTRECTERM → &epsilon,,,,,,,,RIGHTRECTERM → &epsilon
SIGN,,,,,,,,,,,,,,,,,,,,,SIGN → minus sa1,SIGN → plus sa1,,,,,,,,,,,,,,,,,,,,,,,,,,,
START,,,,,,,,,,,,,,,,,,,,START → PROG eof,,,,,,,,,,,,,,,,,,,START → PROG eof,,,,,,,,START → PROG eof,,
STATBLOCK,,,,,,STATBLOCK → sa2 STATEMENT sa23,,,,STATBLOCK → &epsilon sa2 sa23,STATBLOCK → sa2 STATEMENT sa23,STATBLOCK → sa2 STATEMENT sa23,STATBLOCK → sa2 STATEMENT sa23,STATBLOCK → sa2 STATEMENT sa23,STATBLOCK → &epsilon sa2 sa23,,STATBLOCK → sa2 STATEMENT sa23,,STATBLOCK → lcurbr sa2 REPTSTATBLOCK1 sa23 rcurbr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STATEMENT,,,,,,STATEMENT → id sa1 STATEMENTIDNEST sa17 semi,,,,,STATEMENT → return lpar EXPR sa19 sa17 rpar semi,STATEMENT → write lpar EXPR sa18 sa17 rpar semi,STATEMENT → read lpar VARIABLE sa16 sa17 rpar semi,STATEMENT → while lpar RELEXPR rpar STATBLOCK sa20 sa17 semi,,,STATEMENT → if lpar RELEXPR rpar then STATBLOCK else STATBLOCK sa21 sa17 semi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STATEMENTIDNEST,,,,,STATEMENTIDNEST → lpar sa2 APARAMS sa5 rpar sa13 STATEMENTIDNEST2,,STATEMENTIDNEST → dot id sa1 STATEMENTIDNEST sa12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STATEMENTIDNEST → sa2 INDICE REPTIDNEST1 sa4 sa11 STATEMENTIDNEST3,,,,,,STATEMENTIDNEST → ASSIGNOP EXPR sa22 sa17,
STATEMENTIDNEST2,,,,,,,STATEMENTIDNEST2 → dot id sa1 STATEMENTIDNEST sa12,,,STATEMENTIDNEST2 → &epsilon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STATEMENTIDNEST3,,,,,,,STATEMENTIDNEST3 → dot id sa1 STATEMENTIDNEST sa12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STATEMENTIDNEST3 → ASSIGNOP EXPR sa22 sa17,
TERM,,,,,TERM → FACTOR RIGHTRECTERM,TERM → FACTOR RIGHTRECTERM,,,,,,,,,,,,,,,TERM → FACTOR RIGHTRECTERM,TERM → FACTOR RIGHTRECTERM,,,,,,,,,,,,,,,,,,,,,,TERM → FACTOR RIGHTRECTERM,TERM → FACTOR RIGHTRECTERM,TERM → FACTOR RIGHTRECTERM,,,
TYPE,,,,,,TYPE → id sa1,,TYPE → float sa1,TYPE → integer sa1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VARIABLE,,,,,,VARIABLE → id sa1 VARIABLE2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VARIABLE2,,,,VARIABLE2 → sa2 REPTIDNEST1 sa4 sa11 REPTVARIABLE,VARIABLE2 → lpar sa2 APARAMS sa5 rpar sa13 VARIDNEST,,VARIABLE2 → sa2 REPTIDNEST1 sa4 sa11 REPTVARIABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VARIABLE2 → sa2 REPTIDNEST1 sa4 sa11 REPTVARIABLE,,,,,,,
VARIDNEST,,,,,,,VARIDNEST → dot id sa1 VARIDNEST2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VARIDNEST2,,,,VARIDNEST2 → REPTIDNEST1,VARIDNEST2 → lpar sa2 APARAMS sa5 rpar sa13 VARIDNEST,,VARIDNEST2 → REPTIDNEST1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VARIDNEST2 → REPTIDNEST1,,,,,,,
VISIBILITY,,VISIBILITY → private sa1,VISIBILITY → public sa1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
