,$,private,public,id,float,integer,semi,rpar,lpar,return,write,read,while,else,then,if,rcurbr,lcurbr,minus,plus,void,dot,comma,geq,leq,gt,lt,neq,eq,sr,isa,and,div,mult,colon,attribute,constructor,arrow,function,localvar,rsqbr,lsqbr,not,floatlit,intlit,class,equal,or
CLASSDECLORFUNCDEF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CLASSDECLORFUNCDEF → FUNCDEF,,,,,,,CLASSDECLORFUNCDEF → CLASSDECL,,
EXPR,,,,EXPR → ARITHEXPR EXPR2,,,,,EXPR → ARITHEXPR EXPR2,,,,,,,,,,EXPR → ARITHEXPR EXPR2,EXPR → ARITHEXPR EXPR2,,,,,,,,,,,,,,,,,,,,,,,EXPR → ARITHEXPR EXPR2,EXPR → ARITHEXPR EXPR2,EXPR → ARITHEXPR EXPR2,,,
EXPR2,,,,,,,EXPR2 → &epsilon,EXPR2 → &epsilon,,,,,,,,,,,,,,,EXPR2 → &epsilon,EXPR2 → RELOP ARITHEXPR,EXPR2 → RELOP ARITHEXPR,EXPR2 → RELOP ARITHEXPR,EXPR2 → RELOP ARITHEXPR,EXPR2 → RELOP ARITHEXPR,EXPR2 → RELOP ARITHEXPR,,,,,,,,,,,,,,,,,,,
FPARAMS,,,,FPARAMS → id colon TYPE REPTFPARAMS3 REPTFPARAMS4,,,,FPARAMS → &epsilon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FPARAMSTAIL,,,,,,,,,,,,,,,,,,,,,,,FPARAMSTAIL → comma id colon TYPE REPTFPARAMSTAIL4,,,,,,,,,,,,,,,,,,,,,,,,,
FACTOR,,,,FACTOR → id REPTFUNCTION0,,,,,FACTOR → lpar ARITHEXPR rpar,,,,,,,,,,FACTOR → SIGN FACTOR,FACTOR → SIGN FACTOR,,,,,,,,,,,,,,,,,,,,,,,FACTOR → not FACTOR,FACTOR → floatlit,FACTOR → intlit,,,
FUNCBODY,,,,,,,,,,,,,,,,,,FUNCBODY → lcurbr REPTFUNCBODY1 rcurbr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FUNCDEF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FUNCDEF → FUNCHEAD FUNCBODY,,,,,,,,,
FUNCHEAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FUNCHEAD → function id FUNCHEAD2,,,,,,,,,
FUNCHEAD2,,,,,,,,,FUNCHEAD2 → lpar FPARAMS rpar arrow RETURNTYPE,,,,,,,,,,,,,,,,,,,,,FUNCHEAD2 → sr FUNCHEAD3,,,,,,,,,,,,,,,,,,
FUNCHEAD3,,,,FUNCHEAD3 → id lpar FPARAMS rpar arrow RETURNTYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FUNCHEAD3 → constructor lpar FPARAMS rpar,,,,,,,,,,,
FUNCTIONCALL,,,,,,,,,FUNCTIONCALL → lpar APARAMS rpar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INDICE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDICE → lsqbr ARITHEXPR rsqbr,,,,,,
LOCALVARDECL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LOCALVARDECL → localvar id colon TYPE LOCALVARDECL2,,,,,,,,
LOCALVARDECL2,,,,,,,LOCALVARDECL2 → REPTLOCALVARDECL4 semi,,LOCALVARDECL2 → lpar APARAMS rpar semi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LOCALVARDECL2 → REPTLOCALVARDECL4 semi,,,,,,
LOCALVARDECLORSTMT,,,,LOCALVARDECLORSTMT → STATEMENT,,,,,,LOCALVARDECLORSTMT → STATEMENT,LOCALVARDECLORSTMT → STATEMENT,LOCALVARDECLORSTMT → STATEMENT,LOCALVARDECLORSTMT → STATEMENT,,,LOCALVARDECLORSTMT → STATEMENT,,,,,,,,,,,,,,,,,,,,,,,,LOCALVARDECLORSTMT → LOCALVARDECL,,,,,,,,
MEMBERDECL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEMBERDECL → MEMBERVARDECL,MEMBERDECL → MEMBERFUNCDECL,,MEMBERDECL → MEMBERFUNCDECL,,,,,,,,,
MEMBERFUNCDECL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEMBERFUNCDECL → constructor colon lpar FPARAMS rpar semi,,MEMBERFUNCDECL → function id colon lpar FPARAMS rpar arrow RETURNTYPE semi,,,,,,,,,
MEMBERVARDECL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEMBERVARDECL → attribute id colon TYPE REPTMEMBERVARDECL4 semi,,,,,,,,,,,,
MULTOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MULTOP → and,MULTOP → div,MULTOP → mult,,,,,,,,,,,,,,
OPTCLASSDECL2,,,,,,,,,,,,,,,,,,OPTCLASSDECL2 → &epsilon,,,,,,,,,,,,,OPTCLASSDECL2 → isa id REPTOPTCLASSDECL22,,,,,,,,,,,,,,,,,
OPTFUNCHEAD1,,,,OPTFUNCHEAD1 → id sr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RELEXPR,,,,RELEXPR → ARITHEXPR RELOP ARITHEXPR,,,,,RELEXPR → ARITHEXPR RELOP ARITHEXPR,,,,,,,,,,RELEXPR → ARITHEXPR RELOP ARITHEXPR,RELEXPR → ARITHEXPR RELOP ARITHEXPR,,,,,,,,,,,,,,,,,,,,,,,RELEXPR → ARITHEXPR RELOP ARITHEXPR,RELEXPR → ARITHEXPR RELOP ARITHEXPR,RELEXPR → ARITHEXPR RELOP ARITHEXPR,,,
RELOP,,,,,,,,,,,,,,,,,,,,,,,,RELOP → geq,RELOP → leq,RELOP → gt,RELOP → lt,RELOP → neq,RELOP → eq,,,,,,,,,,,,,,,,,,,
REPTSTART0,REPTSTART0 → &epsilon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REPTSTART0 → CLASSDECLORFUNCDEF REPTSTART0,,,,,,,REPTSTART0 → CLASSDECLORFUNCDEF REPTSTART0,,
REPTAPARAMS1,,,,,,,,REPTAPARAMS1 → &epsilon,,,,,,,,,,,,,,,REPTAPARAMS1 → APARAMSTAIL REPTAPARAMS1,,,,,,,,,,,,,,,,,,,,,,,,,
REPTCLASSDECL4,,REPTCLASSDECL4 → VISIBILITY MEMBERDECL REPTCLASSDECL4,REPTCLASSDECL4 → VISIBILITY MEMBERDECL REPTCLASSDECL4,,,,,,,,,,,,,,REPTCLASSDECL4 → &epsilon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REPTFPARAMS3,,,,,,,,REPTFPARAMS3 → &epsilon,,,,,,,,,,,,,,,REPTFPARAMS3 → &epsilon,,,,,,,,,,,,,,,,,,,REPTFPARAMS3 → ARRAYSIZE REPTFPARAMS3,,,,,,
REPTFPARAMS4,,,,,,,,REPTFPARAMS4 → &epsilon,,,,,,,,,,,,,,,REPTFPARAMS4 → FPARAMSTAIL REPTFPARAMS4,,,,,,,,,,,,,,,,,,,,,,,,,
REPTFPARAMSTAIL4,,,,,,,,REPTFPARAMSTAIL4 → &epsilon,,,,,,,,,,,,,,,REPTFPARAMSTAIL4 → &epsilon,,,,,,,,,,,,,,,,,,,REPTFPARAMSTAIL4 → ARRAYSIZE REPTFPARAMSTAIL4,,,,,,
REPTFUNCBODY1,,,,REPTFUNCBODY1 → LOCALVARDECLORSTMT REPTFUNCBODY1,,,,,,REPTFUNCBODY1 → LOCALVARDECLORSTMT REPTFUNCBODY1,REPTFUNCBODY1 → LOCALVARDECLORSTMT REPTFUNCBODY1,REPTFUNCBODY1 → LOCALVARDECLORSTMT REPTFUNCBODY1,REPTFUNCBODY1 → LOCALVARDECLORSTMT REPTFUNCBODY1,,,REPTFUNCBODY1 → LOCALVARDECLORSTMT REPTFUNCBODY1,REPTFUNCBODY1 → &epsilon,,,,,,,,,,,,,,,,,,,,,,,REPTFUNCBODY1 → LOCALVARDECLORSTMT REPTFUNCBODY1,,,,,,,,
REPTIDNEST1,,,,,,,REPTIDNEST1 → &epsilon,REPTIDNEST1 → &epsilon,,,,,,,,,,,REPTIDNEST1 → &epsilon,REPTIDNEST1 → &epsilon,,REPTIDNEST1 → &epsilon,REPTIDNEST1 → &epsilon,REPTIDNEST1 → &epsilon,REPTIDNEST1 → &epsilon,REPTIDNEST1 → &epsilon,REPTIDNEST1 → &epsilon,REPTIDNEST1 → &epsilon,REPTIDNEST1 → &epsilon,,,REPTIDNEST1 → &epsilon,REPTIDNEST1 → &epsilon,REPTIDNEST1 → &epsilon,,,,,,,REPTIDNEST1 → &epsilon,REPTIDNEST1 → INDICE REPTIDNEST1,,,,,REPTIDNEST1 → &epsilon,REPTIDNEST1 → &epsilon
REPTLOCALVARDECL4,,,,,,,REPTLOCALVARDECL4 → &epsilon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REPTLOCALVARDECL4 → ARRAYSIZE REPTLOCALVARDECL4,,,,,,
REPTMEMBERVARDECL4,,,,,,,REPTMEMBERVARDECL4 → &epsilon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REPTMEMBERVARDECL4 → ARRAYSIZE REPTMEMBERVARDECL4,,,,,,
REPTOPTCLASSDECL22,,,,,,,,,,,,,,,,,,REPTOPTCLASSDECL22 → &epsilon,,,,,REPTOPTCLASSDECL22 → comma id REPTOPTCLASSDECL22,,,,,,,,,,,,,,,,,,,,,,,,,
REPTSTATBLOCK1,,,,REPTSTATBLOCK1 → STATEMENT REPTSTATBLOCK1,,,,,,REPTSTATBLOCK1 → STATEMENT REPTSTATBLOCK1,REPTSTATBLOCK1 → STATEMENT REPTSTATBLOCK1,REPTSTATBLOCK1 → STATEMENT REPTSTATBLOCK1,REPTSTATBLOCK1 → STATEMENT REPTSTATBLOCK1,,,REPTSTATBLOCK1 → STATEMENT REPTSTATBLOCK1,REPTSTATBLOCK1 → &epsilon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REPTVARIABLE0,,,,,,,,,REPTVARIABLE0 → lpar APARAMS rpar dot id REPTVARIABLE0,,,,,,,,,,,,,REPTVARIABLE0 → REPTIDNEST1 dot id REPTVARIABLE00,,,,,,,,,,,,,,,,,,,,REPTVARIABLE0 → REPTIDNEST1 dot id REPTVARIABLE00,,,,,,
REPTVARIABLE00,,,,,,,,REPTVARIABLE00 → REPTVARIABLE2,,,,,,,,,,,,,,REPTVARIABLE00 → dot id REPTVARIABLE0,,,,,,,,,,,,,,,,,,,,REPTVARIABLE00 → REPTVARIABLE2,,,,,,
REPTFUNCTION0,,,,,,,REPTFUNCTION0 → REPTIDNEST1 REPTFUNCTION00,REPTFUNCTION0 → REPTIDNEST1 REPTFUNCTION00,REPTFUNCTION0 → lpar APARAMS rpar REPTFUNCTION00,,,,,,,,,,REPTFUNCTION0 → REPTIDNEST1 REPTFUNCTION00,REPTFUNCTION0 → REPTIDNEST1 REPTFUNCTION00,,REPTFUNCTION0 → REPTIDNEST1 REPTFUNCTION00,REPTFUNCTION0 → REPTIDNEST1 REPTFUNCTION00,REPTFUNCTION0 → REPTIDNEST1 REPTFUNCTION00,REPTFUNCTION0 → REPTIDNEST1 REPTFUNCTION00,REPTFUNCTION0 → REPTIDNEST1 REPTFUNCTION00,REPTFUNCTION0 → REPTIDNEST1 REPTFUNCTION00,REPTFUNCTION0 → REPTIDNEST1 REPTFUNCTION00,REPTFUNCTION0 → REPTIDNEST1 REPTFUNCTION00,,,REPTFUNCTION0 → REPTIDNEST1 REPTFUNCTION00,REPTFUNCTION0 → REPTIDNEST1 REPTFUNCTION00,REPTFUNCTION0 → REPTIDNEST1 REPTFUNCTION00,,,,,,,REPTFUNCTION0 → REPTIDNEST1 REPTFUNCTION00,REPTFUNCTION0 → REPTIDNEST1 REPTFUNCTION00,,,,,REPTFUNCTION0 → REPTIDNEST1 REPTFUNCTION00,REPTFUNCTION0 → REPTIDNEST1 REPTFUNCTION00
REPTFUNCTION00,,,,,,,REPTFUNCTION00 → &epsilon,REPTFUNCTION00 → &epsilon,,,,,,,,,,,REPTFUNCTION00 → &epsilon,REPTFUNCTION00 → &epsilon,,REPTFUNCTION00 → dot id REPTFUNCTION0,REPTFUNCTION00 → &epsilon,REPTFUNCTION00 → &epsilon,REPTFUNCTION00 → &epsilon,REPTFUNCTION00 → &epsilon,REPTFUNCTION00 → &epsilon,REPTFUNCTION00 → &epsilon,REPTFUNCTION00 → &epsilon,,,REPTFUNCTION00 → &epsilon,REPTFUNCTION00 → &epsilon,REPTFUNCTION00 → &epsilon,,,,,,,REPTFUNCTION00 → &epsilon,,,,,,REPTFUNCTION00 → &epsilon,REPTFUNCTION00 → &epsilon
REPTVARIABLE2,,,,,,,,REPTVARIABLE2 → &epsilon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REPTVARIABLE2 → INDICE REPTVARIABLE2,,,,,REPTVARIABLE2 → &epsilon,
RETURNTYPE,,,,RETURNTYPE → TYPE,RETURNTYPE → TYPE,RETURNTYPE → TYPE,,,,,,,,,,,,,,,RETURNTYPE → void,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIGHTRECARITHEXPR,,,,,,,RIGHTRECARITHEXPR → &epsilon,RIGHTRECARITHEXPR → &epsilon,,,,,,,,,,,RIGHTRECARITHEXPR → ADDOP TERM RIGHTRECARITHEXPR,RIGHTRECARITHEXPR → ADDOP TERM RIGHTRECARITHEXPR,,,RIGHTRECARITHEXPR → &epsilon,RIGHTRECARITHEXPR → &epsilon,RIGHTRECARITHEXPR → &epsilon,RIGHTRECARITHEXPR → &epsilon,RIGHTRECARITHEXPR → &epsilon,RIGHTRECARITHEXPR → &epsilon,RIGHTRECARITHEXPR → &epsilon,,,,,,,,,,,,RIGHTRECARITHEXPR → &epsilon,,,,,,,RIGHTRECARITHEXPR → ADDOP TERM RIGHTRECARITHEXPR
RIGHTRECTERM,,,,,,,RIGHTRECTERM → &epsilon,RIGHTRECTERM → &epsilon,,,,,,,,,,,RIGHTRECTERM → &epsilon,RIGHTRECTERM → &epsilon,,,RIGHTRECTERM → &epsilon,RIGHTRECTERM → &epsilon,RIGHTRECTERM → &epsilon,RIGHTRECTERM → &epsilon,RIGHTRECTERM → &epsilon,RIGHTRECTERM → &epsilon,RIGHTRECTERM → &epsilon,,,RIGHTRECTERM → MULTOP FACTOR RIGHTRECTERM,RIGHTRECTERM → MULTOP FACTOR RIGHTRECTERM,RIGHTRECTERM → MULTOP FACTOR RIGHTRECTERM,,,,,,,RIGHTRECTERM → &epsilon,,,,,,,RIGHTRECTERM → &epsilon
SIGN,,,,,,,,,,,,,,,,,,,SIGN → minus,SIGN → plus,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STATBLOCK,,,,STATBLOCK → STATEMENT,,,STATBLOCK → &epsilon,,,STATBLOCK → STATEMENT,STATBLOCK → STATEMENT,STATBLOCK → STATEMENT,STATBLOCK → STATEMENT,STATBLOCK → &epsilon,,STATBLOCK → STATEMENT,,STATBLOCK → lcurbr REPTSTATBLOCK1 rcurbr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STATEMENT,,,,STATEMENT → id REPTFUNCTION0 STATEMENT2,,,,,,STATEMENT → return lpar EXPR rpar semi,STATEMENT → write lpar EXPR rpar semi,STATEMENT → read lpar id REPTVARIABLE0 rpar semi,STATEMENT → while lpar RELEXPR rpar STATBLOCK semi,,,STATEMENT → if lpar RELEXPR rpar then STATBLOCK else STATBLOCK semi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STATEMENT2,,,,,,,STATEMENT2 → semi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STATEMENT2 → ASSIGNOP EXPR semi,
TERM,,,,TERM → FACTOR RIGHTRECTERM,,,,,TERM → FACTOR RIGHTRECTERM,,,,,,,,,,TERM → FACTOR RIGHTRECTERM,TERM → FACTOR RIGHTRECTERM,,,,,,,,,,,,,,,,,,,,,,,TERM → FACTOR RIGHTRECTERM,TERM → FACTOR RIGHTRECTERM,TERM → FACTOR RIGHTRECTERM,,,
TYPE,,,,TYPE → id,TYPE → float,TYPE → integer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VARIABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VARIABLE → REPTVARIABLE2,,,,,VARIABLE → REPTVARIABLE2,
VISIBILITY,,VISIBILITY → private,VISIBILITY → public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
